id,username,created_at,lng,lat,text
1520132279862906880,SKCFDispatches,Fri Apr 29 20:05:52 +0000 2022,-121.9916371,47.2047793,"🤕 🚒DISPATCH: Accident Injury (BLS) - Fire Only @ 244TH AVE SE/SE 436TH WAY, ENUMCLAW.Responding Dept: EnumclawU… https://t.co/0dX6E56gbP"
1520132281469349888,scopedbylarry,Fri Apr 29 20:05:53 +0000 2022,-110.892878,32.3029315,"Just in case you were running low on nightmare material, check this out."
1520132281632968705,MadMike4883,Fri Apr 29 20:05:53 +0000 2022,-73.961881,41.496237,@TeamHAMMAFIST @ComeAlongNikki Sounds like a new video game.
1520132282392190977,VoteJustice,Fri Apr 29 20:05:53 +0000 2022,-82.67290299999999,27.7957195,"""I'd say his behavior was middle school,  but that would be an insult to middle schoolers"""
1520132282442469383,CWBOCA,Fri Apr 29 20:05:53 +0000 2022,-80.134986,26.3739755,"@CryptoLawyerz @wiczipedia You mean, like this? 😬 https://t.co/VD22vHeTNr"
1520132283327561729,debourbonhorto1,Fri Apr 29 20:05:53 +0000 2022,-82.7425825,27.822598499999998,@PuppiesIover They are going to blow away
1520132283881205767,MattyAldrich,Fri Apr 29 20:05:53 +0000 2022,-76.144423,43.046899,"Just posted a photo @ Syracuse, New York https://t.co/6jfT5tOGYV"
1520132285529575431,McIntyre1937,Fri Apr 29 20:05:54 +0000 2022,-82.55501000000001,27.469061,Followed Boris Becker closely for years.  One of my favorite players.  So frustrating!
1520132285407895553,falcicchio,Fri Apr 29 20:05:54 +0000 2022,-77.0143985,38.898602999999994,"“That should come as a relief to hotel owners and operators in Greater Washington, which has trailed many of its pe… https://t.co/sf3q8GTvFD"
1520132286112444416,AmbassadorKael,Fri Apr 29 20:05:54 +0000 2022,-122.3154215,37.552481,@FragranceFreeDD @Timelines_Talks @MorkAndXindi You monster
1520132285969829888,kinnleysfault,Fri Apr 29 20:05:54 +0000 2022,-119.30660750000001,37.2691755,school shucks 😏 who’s who ??? https://t.co/bh9qkuXvWD
1520132287215591424,krism1226,Fri Apr 29 20:05:54 +0000 2022,-74.1581305,40.859832,TGI-Freaking F.   Never thought this week would end.
1520132287869952000,bbw_lovaa,Fri Apr 29 20:05:54 +0000 2022,-88.16155549999999,30.683649,@hbicash Beautiful ❤
1520132289304399876,bhof1943,Fri Apr 29 20:05:55 +0000 2022,-88.404845,40.1955145,@ILLBoardRoom Of Northwestern???
1520132289296048130,_papa100,Fri Apr 29 20:05:55 +0000 2022,-95.44648649999999,29.838495,My dawg @juiicykayyyy gone check some about me 💯
1520132289216139264,iembot_tfx,Fri Apr 29 20:05:55 +0000 2022,-110.0447835,46.6798,"At 9:27 AM MDT, 4 SSW Bozeman [Gallatin Co, MT] PUBLIC reports SNOW of 3.00 INCH https://t.co/dFgkhmEK4c"
1520132289677647883,ReBornAlii,Fri Apr 29 20:05:55 +0000 2022,-87.8267415,41.724807,@kamuiartz 91 days in your assThe rising of the shield hero in your assAngel beats in your ass
1520132289681711104,GoatedBooz,Fri Apr 29 20:05:55 +0000 2022,-123.1224015,44.065621,@Philly_Bul215 Dawg
1520132289908207616,KandisGilmore,Fri Apr 29 20:05:55 +0000 2022,-119.30660750000001,37.2691755,@BeeSipOnline has a wonderful interview on Monga Bay for kids  about her work and native bees. https://t.co/EkLSl4uau7
1520132289920864257,Shane_01976,Fri Apr 29 20:05:55 +0000 2022,-122.81848600000001,49.111519,@rightside74 @abbycanucks @HSKnights @Condors If they lose in regulation the home games would not happen they will be played on the road
1520132291724468226,ToddSkirving,Fri Apr 29 20:05:55 +0000 2022,-72.5923815,46.3606685,BOBBO 🙌🏽
1520132291946848257,tymonae_,Fri Apr 29 20:05:55 +0000 2022,-97.011168,32.655677999999995,Aww Drake is so adorable on Wait For You. 💙
1520132291388796928,YukonGearAxle,Fri Apr 29 20:05:55 +0000 2022,-81.068556,29.190223,Yukon Nation are you at Jeep Beach? Catch ambassadors @roveandreverie and @recoil_tj for some free swag and win an… https://t.co/W4sl098mqo
1520132293616144385,MrNoLimitRepper,Fri Apr 29 20:05:56 +0000 2022,-82.985772,39.9946835,It’s certain shit that will humble you real quick!!!
1520132294924775424,rosmallwood75,Fri Apr 29 20:05:56 +0000 2022,-87.651468,34.744854,"I'm at Donna &amp; Friends in Muscle Shoals, AL https://t.co/2Y310phQjG"
1520132295625220099,poysenivy,Fri Apr 29 20:05:56 +0000 2022,-95.91689099999999,41.286898,I just uncovered 169.62 COIN geomining! https://t.co/kzMXNYEOmk https://t.co/ieY4qUKXco
1520132297101824000,DawnWis21183907,Fri Apr 29 20:05:56 +0000 2022,-89.5694915,44.900818,@Peggy54961288 I had the day off to start moving. I've worked harder today than I do at work. On the bright side I… https://t.co/7y1yBmdbGg
1520132297508503553,BrittiniLaney,Fri Apr 29 20:05:57 +0000 2022,-81.705467,41.495939500000006,@circleside_king Gift!
1520132297680465921,desiree_tutt,Fri Apr 29 20:05:57 +0000 2022,-95.44648649999999,29.838495,My sons will see that their dads and I get along. More than “cordial” or “civil”.
